,State,County,"Population Estimate, 2012","Population Estimate, 2016",PercChangeInPop2012-2016
511, Georgia,Seminole ,8908,8468,-4.94
512, Georgia,Spalding ,63727,64806,1.69
513, Georgia,Stephens ,25701,25751,0.19
514, Georgia,Stewart ,6127,5705,-6.89
515, Georgia,Sumter ,31641,30389,-3.96
516, Georgia,Talbot ,6546,6171,-5.73
517, Georgia,Taliaferro ,1670,1593,-4.61
518, Georgia,Tattnall ,25313,25092,-0.87
519, Georgia,Taylor ,8381,8232,-1.78
520, Georgia,Telfair ,16418,15965,-2.76
521, Georgia,Terrell ,9244,8967,-3.0
522, Georgia,Thomas ,44615,45248,1.42
523, Georgia,Tift ,40998,40828,-0.41
524, Georgia,Toombs ,27136,27196,0.22
525, Georgia,Towns ,10504,11391,8.44
526, Georgia,Treutlen ,6753,6637,-1.72
527, Georgia,Troup ,68432,70005,2.3
528, Georgia,Turner ,8435,8030,-4.8
529, Georgia,Twiggs ,8513,8171,-4.02
530, Georgia,Union ,21477,22928,6.76
531, Georgia,Upson ,26626,26335,-1.09
532, Georgia,Walker ,68191,67896,-0.43
533, Georgia,Walton ,84882,90184,6.25
534, Georgia,Ware ,35859,35738,-0.34
535, Georgia,Warren ,5568,5442,-2.26
536, Georgia,Washington ,20864,20457,-1.95
537, Georgia,Wayne ,30362,30104,-0.85
538, Georgia,Webster ,2792,2599,-6.91
539, Georgia,Wheeler ,7911,7978,0.85
540, Georgia,White ,27591,28884,4.69
541, Georgia,Whitfield ,103193,104589,1.35
542, Georgia,Wilcox ,8977,8761,-2.41
543, Georgia,Wilkes ,10058,9805,-2.52
544, Georgia,Wilkinson ,9548,9104,-4.65
545, Georgia,Worth ,21375,20748,-2.93
546, Hawaii,Hawaii ,188765,198449,5.13
547, Hawaii,Honolulu ,975909,992605,1.71
548, Hawaii,Kalawao ,89,88,-1.12
549, Hawaii,Kauai ,68558,72029,5.06
550, Hawaii,Maui ,158499,165386,4.35
551, Idaho,Ada ,408899,444028,8.59
552, Idaho,Adams ,3909,3900,-0.23
553, Idaho,Bannock ,83806,84377,0.68
554, Idaho,Bear Lake ,5901,5945,0.75
555, Idaho,Benewah ,9125,9092,-0.36
556, Idaho,Bingham ,45526,45201,-0.71
557, Idaho,Blaine ,21107,21791,3.24
558, Idaho,Boise ,6800,7124,4.76
559, Idaho,Bonner ,40436,42536,5.19
560, Idaho,Bonneville ,106874,112232,5.01
561, Idaho,Boundary ,10838,11681,7.78
562, Idaho,Butte ,2722,2501,-8.12
563, Idaho,Camas ,1080,1072,-0.74
564, Idaho,Canyon ,193742,211698,9.27
565, Idaho,Caribou ,6773,6887,1.68
566, Idaho,Cassia ,23291,23504,0.91
567, Idaho,Clark ,874,860,-1.6
568, Idaho,Clearwater ,8579,8497,-0.96
569, Idaho,Custer ,4349,4096,-5.82
570, Idaho,Elmore ,26265,26018,-0.94
571, Idaho,Franklin ,12826,13406,4.52
572, Idaho,Fremont ,12986,12943,-0.33
573, Idaho,Gem ,16688,17184,2.97
574, Idaho,Gooding ,15238,15185,-0.35
575, Idaho,Idaho ,16407,16156,-1.53
576, Idaho,Jefferson ,26658,27839,4.43
577, Idaho,Jerome ,22491,22994,2.24
578, Idaho,Kootenai ,142311,154311,8.43
579, Idaho,Latah ,38187,39196,2.64
580, Idaho,Lemhi ,7778,7723,-0.71
581, Idaho,Lewis ,3839,3853,0.36
582, Idaho,Lincoln ,5260,5271,0.21
583, Idaho,Madison ,37728,39048,3.5
584, Idaho,Minidoka ,20113,20616,2.5
585, Idaho,Nez Perce ,39562,40369,2.04
586, Idaho,Oneida ,4233,4343,2.6
587, Idaho,Owyhee ,11398,11389,-0.08
588, Idaho,Payette ,22672,23026,1.56
589, Idaho,Power ,7809,7654,-1.98
590, Idaho,Shoshone ,12739,12452,-2.25
